,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
New Romantics (Taylor's Version),0.651,0.855,5,-5.959,1,0.0538,0.0068,9.81e-06,0.0759,0.698,121.98,audio_features,2vPMoMDXxu9uX1igWZmXSG,spotify:track:2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/tracks/2vPMoMDXxu9uX1igWZmXSG,https://api.spotify.com/v1/audio-analysis/2vPMoMDXxu9uX1igWZmXSG,230178,4
"""Slut!"" (Taylor's Version) (From The Vault)",0.629,0.413,7,-13.178,1,0.055,0.345,7.62e-05,0.0603,0.306,77.983,audio_features,71BqAINEnezjQfxE4VuJfq,spotify:track:71BqAINEnezjQfxE4VuJfq,https://api.spotify.com/v1/tracks/71BqAINEnezjQfxE4VuJfq,https://api.spotify.com/v1/audio-analysis/71BqAINEnezjQfxE4VuJfq,180381,4
Say Don't Go (Taylor's Version) (From The Vault),0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67e-05,0.149,0.192,109.946,audio_features,4NioO5R9sHEZh4cGzMHyNt,spotify:track:4NioO5R9sHEZh4cGzMHyNt,https://api.spotify.com/v1/tracks/4NioO5R9sHEZh4cGzMHyNt,https://api.spotify.com/v1/audio-analysis/4NioO5R9sHEZh4cGzMHyNt,279833,4
Now That We Don't Talk (Taylor's Version) (From The Vault),0.793,0.512,0,-9.319,1,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,audio_features,5KD6AEm19QnMbfWpfoOHMl,spotify:track:5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/tracks/5KD6AEm19QnMbfWpfoOHMl,https://api.spotify.com/v1/audio-analysis/5KD6AEm19QnMbfWpfoOHMl,146437,4
Suburban Legends (Taylor's Version) (From The Vault),0.699,0.621,0,-8.739,1,0.0369,0.198,0.0,0.104,0.344,118.048,audio_features,6T0sEnqjmHISIKwFETeeiP,spotify:track:6T0sEnqjmHISIKwFETeeiP,https://api.spotify.com/v1/tracks/6T0sEnqjmHISIKwFETeeiP,https://api.spotify.com/v1/audio-analysis/6T0sEnqjmHISIKwFETeeiP,171819,4
Mine (Taylor's Version),0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,audio_features,7G0gBu6nLdhFDPRLc0HdDG,spotify:track:7G0gBu6nLdhFDPRLc0HdDG,https://api.spotify.com/v1/tracks/7G0gBu6nLdhFDPRLc0HdDG,https://api.spotify.com/v1/audio-analysis/7G0gBu6nLdhFDPRLc0HdDG,231707,4
Sparks Fly (Taylor’s Version),0.588,0.758,5,-2.347,1,0.0305,0.0251,0.0,0.131,0.387,114.991,audio_features,3MytWN8L7shNYzGl4tAKRp,spotify:track:3MytWN8L7shNYzGl4tAKRp,https://api.spotify.com/v1/tracks/3MytWN8L7shNYzGl4tAKRp,https://api.spotify.com/v1/audio-analysis/3MytWN8L7shNYzGl4tAKRp,261231,4
Back To December (Taylor's Version),0.497,0.635,2,-3.927,1,0.0273,0.00621,0.0,0.117,0.203,142.063,audio_features,79uDOz0zuuWS7HWxzMmTa2,spotify:track:79uDOz0zuuWS7HWxzMmTa2,https://api.spotify.com/v1/tracks/79uDOz0zuuWS7HWxzMmTa2,https://api.spotify.com/v1/audio-analysis/79uDOz0zuuWS7HWxzMmTa2,294190,4
Speak Now (Taylor's Version),0.727,0.677,7,-2.871,1,0.0325,0.248,0.0,0.143,0.639,118.995,audio_features,5xXqyjLicvEpch72qEryFT,spotify:track:5xXqyjLicvEpch72qEryFT,https://api.spotify.com/v1/tracks/5xXqyjLicvEpch72qEryFT,https://api.spotify.com/v1/audio-analysis/5xXqyjLicvEpch72qEryFT,242473,4
Dear John (Taylor's Version),0.419,0.47,4,-5.016,1,0.0296,0.0236,0.0,0.163,0.133,119.294,audio_features,1zU8j1x3yi9xalMF96pzKp,spotify:track:1zU8j1x3yi9xalMF96pzKp,https://api.spotify.com/v1/tracks/1zU8j1x3yi9xalMF96pzKp,https://api.spotify.com/v1/audio-analysis/1zU8j1x3yi9xalMF96pzKp,405907,3
Mean (Taylor's Version),0.524,0.692,4,-3.866,1,0.0369,0.311,0.0,0.192,0.621,163.874,audio_features,30Y4CV7A6YqtQtTTo7Ue4j,spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,https://api.spotify.com/v1/tracks/30Y4CV7A6YqtQtTTo7Ue4j,https://api.spotify.com/v1/audio-analysis/30Y4CV7A6YqtQtTTo7Ue4j,238693,4
The Story Of Us (Taylor's Version),0.515,0.781,4,-2.608,1,0.0535,0.00192,0.0,0.054,0.57,139.846,audio_features,6dTA6y0C2ReQklntzZl8l3,spotify:track:6dTA6y0C2ReQklntzZl8l3,https://api.spotify.com/v1/tracks/6dTA6y0C2ReQklntzZl8l3,https://api.spotify.com/v1/audio-analysis/6dTA6y0C2ReQklntzZl8l3,267653,4
